Country,density,land_area_m,agricultural_land,birth_rate,fertility_rate,life_expectancy,proportion_forested,population_m,urban_population_m,co2_emissions
Kuwait,240.0,0.017818,0.084,13.94,2.08,75.4,0.004,4.207083,4.207083,98734.0
Kyrgyzstan,34.0,0.199951,0.55,27.1,3.3,71.4,0.033,6.4569,2.362644,9787.0
Laos,32.0,0.2368,0.10300000000000001,23.55,2.67,67.6,0.821,7.169455,2.555552,17763.0
Latvia,30.0,0.064589,0.311,10.0,1.6,74.7,0.54,1.912789,1.304943,7004.0
Lebanon,667.0,0.0104,0.643,17.55,2.09,78.9,0.134,6.855713,6.084994,24796.0
Lesotho,71.0,0.030355,0.7759999999999999,26.81,3.14,53.7,0.016,2.125268,0.607508,2512.0
Liberia,53.0,0.111369,0.28,33.04,4.32,63.7,0.431,4.937374,2.548426,1386.0
Libya,4.0,1.75954,0.087,18.83,2.24,72.7,0.001,6.777452,5.448597,50564.0
Liechtenstein,238.0,0.00016,0.322,9.9,1.44,83.0,0.431,0.038019,0.005464,51.0
Lithuania,43.0,0.0653,0.47200000000000003,10.0,1.63,75.7,0.348,2.786844,1.891013,12963.0
Luxembourg,242.0,0.002586,0.537,10.3,1.37,82.1,0.35700000000000004,0.645397,0.565488,8988.0
Madagascar,48.0,0.587041,0.7120000000000001,32.66,4.08,66.7,0.214,26.969307,10.210849,3905.0
Malawi,203.0,0.118484,0.614,34.12,4.21,63.8,0.332,18.628747,3.199301,1298.0
Malaysia,99.0,0.329847,0.263,16.75,2.0,76.0,0.6759999999999999,32.447385,24.475766,248289.0
Maldives,1802.0,0.000298,0.263,14.2,1.87,78.6,0.033,0.530953,0.213645,1445.0
Mali,17.0,1.240192,0.33799999999999997,41.54,5.88,58.9,0.038,19.658031,8.479688,3179.0
Malta,1380.0,0.000316,0.324,9.2,1.23,82.3,0.011000000000000001,0.502653,0.475902,1342.0
Marshall Islands,329.0,0.000181,0.639,29.03,4.05,65.2,0.7020000000000001,0.058791,0.045514,143.0
Mauritania,5.0,1.0307,0.385,33.69,4.56,64.7,0.002,4.525696,2.466821,2739.0
Mauritius,626.0,0.00204,0.424,10.2,1.41,74.4,0.19,1.265711,0.51598,4349.0
Mexico,66.0,1.964375,0.546,17.6,2.13,75.0,0.33899999999999997,126.014024,102.626859,486406.0
